,Unnamed: 0,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,DATE,TIME,DAY,MIN,DATETIME,MATCH_TENTH_KM
16255,16255,I192002650,2647,Other,THREATS TO DO BODILY HARM,D4,270,,2019-01-10 8:00,2019,1,Thursday,8,Part Two,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)",2019-01-10,8:00,10,0,2019-01-10 8:00,TRUE
16256,16256,I192001800,3208,Property Lost,PROPERTY - MISSING,E13,307,,2019-01-04 11:30,2019,1,Friday,11,Part Three,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)",2019-01-04,11:30,4,30,2019-01-04 11:30,TRUE
16258,16258,192101146,3207,,PROPERTY - FOUND,B2,289,0,2019-12-16 12:30,2019,12,Monday,12,,TREMONT ST,42.334024,-71.09039,"(42.33402400, -71.09039000)",2019-12-16,12:30,16,30,2019-12-16 12:30,TRUE
16263,16263,192097145,3502,,MISSING PERSON - LOCATED,B2,289,0,2019-12-02 10:23,2019,12,Monday,10,,TREMONT ST,42.334024,-71.09039,"(42.33402400, -71.09039000)",2019-12-02,10:23,2,23,2019-12-02 10:23,TRUE
16267,16267,192089906,3201,,PROPERTY - LOST/ MISSING,B2,289,0,2019-11-05 15:00,2019,11,Tuesday,15,,TREMONT ST,42.334024,-71.09039,"(42.33402400, -71.09039000)",2019-11-05,15:00,5,0,2019-11-05 15:00,TRUE
16269,16269,192087124,3805,,M/V ACCIDENT - POLICE VEHICLE,B2,289,0,2019-10-25 14:00,2019,10,Friday,14,,TREMONT ST,42.334024,-71.09039,"(42.33402400, -71.09039000)",2019-10-25,14:00,25,0,2019-10-25 14:00,TRUE
16271,16271,192081157,3005,,SICK ASSIST,B2,289,0,2019-10-07 14:00,2019,10,Monday,14,,TREMONT ST,42.334024,-71.09039,"(42.33402400, -71.09039000)",2019-10-07,14:00,7,0,2019-10-07 14:00,TRUE
16272,16272,192079588,3502,,MISSING PERSON - LOCATED,B2,289,0,2019-10-01 16:00,2019,10,Tuesday,16,,TREMONT ST,42.334024,-71.09039,"(42.33402400, -71.09039000)",2019-10-01,16:00,1,0,2019-10-01 16:00,TRUE
16276,16276,I192067935,3102,Other,INVESTIGATION FOR ANOTHER AGENCY,B2,289,,2019-08-27 13:25,2019,8,Tuesday,13,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-08-27,13:25,27,25,2019-08-27 13:25,TRUE
16278,16278,I192059983,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B2,289,,2019-08-02 8:15,2019,8,Friday,8,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-08-02,8:15,2,15,2019-08-02 8:15,TRUE
16279,16279,I192059569,3207,Property Found,PROPERTY - FOUND,B2,289,,2019-08-01 9:04,2019,8,Thursday,9,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-08-01,9:04,1,4,2019-08-01 9:04,TRUE
16280,16280,I192058693,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,B2,289,,2019-07-29 14:01,2019,7,Monday,14,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-07-29,14:01,29,1,2019-07-29 14:01,TRUE
16284,16284,I192054965,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,B2,289,,2019-07-17 9:00,2019,7,Wednesday,9,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-07-17,9:00,17,0,2019-07-17 9:00,TRUE
16285,16285,I192054704,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,B2,289,,2019-07-16 12:17,2019,7,Tuesday,12,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-07-16,12:17,16,17,2019-07-16 12:17,TRUE
16286,16286,I192049264,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B2,289,,2019-06-28 13:50,2019,6,Friday,13,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-06-28,13:50,28,50,2019-06-28 13:50,TRUE
16287,16287,I192048664,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,B2,289,,2019-06-25 14:30,2019,6,Tuesday,14,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-06-25,14:30,25,30,2019-06-25 14:30,TRUE
16288,16288,I192047035,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,B2,289,,2019-06-21 11:37,2019,6,Friday,11,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-06-21,11:37,21,37,2019-06-21 11:37,TRUE
16289,16289,I192045011,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,289,,2019-06-14 8:03,2019,6,Friday,8,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-06-14,8:03,14,3,2019-06-14 8:03,TRUE
16290,16290,I192041943,3102,Other,INVESTIGATION FOR ANOTHER AGENCY,B2,289,,2019-06-04 11:23,2019,6,Tuesday,11,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-06-04,11:23,4,23,2019-06-04 11:23,TRUE
16291,16291,I192038558,3402,Service,ANIMAL INCIDENTS,B2,289,,2019-05-23 14:55,2019,5,Thursday,14,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-05-23,14:55,23,55,2019-05-23 14:55,TRUE
16292,16292,I192036991,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B2,289,,2019-05-14 8:30,2019,5,Tuesday,8,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-05-14,8:30,14,30,2019-05-14 8:30,TRUE
16299,16299,I192021828,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B2,289,,2019-03-25 10:23,2019,3,Monday,10,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-03-25,10:23,25,23,2019-03-25 10:23,TRUE
16303,16303,I192010179,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,289,,2019-02-08 9:09,2019,2,Friday,9,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-02-08,9:09,8,9,2019-02-08 9:09,TRUE
16304,16304,I192008305,3201,Property Lost,PROPERTY - LOST,B2,289,,2019-02-01 8:35,2019,2,Friday,8,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-02-01,8:35,1,35,2019-02-01 8:35,TRUE
16305,16305,I192011237,3201,Property Lost,PROPERTY - LOST,B2,289,,2019-01-24 11:19,2019,1,Thursday,11,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-01-24,11:19,24,19,2019-01-24 11:19,TRUE
16306,16306,I192004699,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B2,289,,2019-01-18 7:38,2019,1,Friday,7,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-01-18,7:38,18,38,2019-01-18 7:38,TRUE
16307,16307,I192004545,3201,Property Lost,PROPERTY - LOST,B2,289,,2019-01-17 15:23,2019,1,Thursday,15,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-01-17,15:23,17,23,2019-01-17 15:23,TRUE
16308,16308,I192003857,3207,Property Found,PROPERTY - FOUND,B2,289,,2019-01-15 8:52,2019,1,Tuesday,8,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-01-15,8:52,15,52,2019-01-15 8:52,TRUE
16309,16309,I192002853,3201,Property Lost,PROPERTY - LOST,B2,289,,2019-01-11 10:25,2019,1,Friday,10,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-01-11,10:25,11,25,2019-01-11 10:25,TRUE
16310,16310,I192004514,3201,Property Lost,PROPERTY - LOST,B2,289,,2019-01-11 10:00,2019,1,Friday,10,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)",2019-01-11,10:00,11,0,2019-01-11 10:00,TRUE
16321,16321,I192041622,3106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,C6,220,,2019-06-03 12:43,2019,6,Monday,12,Part Three,LINDEN ST,42.3340481,-71.04495532,"(42.33404810, -71.04495532)",2019-06-03,12:43,3,43,2019-06-03 12:43,TRUE
16419,16419,I192006434,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,593,,2019-01-25 3:01,2019,1,Friday,3,Part Three,FRANCIS ST,42.33421,-71.104919,"(42.33421000, -71.10491900)",2019-01-25,3:01,25,1,2019-01-25 3:01,TRUE
16420,16420,I192006434,3410,Towed,TOWED MOTOR VEHICLE,B2,593,,2019-01-25 3:01,2019,1,Friday,3,Part Three,FRANCIS ST,42.33421,-71.104919,"(42.33421000, -71.10491900)",2019-01-25,3:01,25,1,2019-01-25 3:01,TRUE
16470,16470,I192018000,3410,Towed,TOWED MOTOR VEHICLE,C6,216,,2019-03-11 7:06,2019,3,Monday,7,Part Three,W NINTH ST,42.33427049,-71.05382848,"(42.33427049, -71.05382848)",2019-03-11,7:06,11,6,2019-03-11 7:06,TRUE
16670,16670,I192002570,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,566,,2019-01-10 8:26,2019,1,Thursday,8,Part Two,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)",2019-01-10,8:26,10,26,2019-01-10 8:26,TRUE
16671,16671,I192002570,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,B2,566,,2019-01-10 8:26,2019,1,Thursday,8,Part Three,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)",2019-01-10,8:26,10,26,2019-01-10 8:26,TRUE
16707,16707,192099928,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,901,0,2019-12-12 9:07,2019,12,Thursday,9,,,42.334368,-71.095308,"(42.33436800, -71.09530800)",2019-12-12,9:07,12,7,2019-12-12 9:07,TRUE
16717,16717,I192018336,3410,Towed,TOWED MOTOR VEHICLE,D4,271,,2019-03-12 10:38,2019,3,Tuesday,10,Part Three,E LENOX ST,42.33437384,-71.07793188,"(42.33437384, -71.07793188)",2019-03-12,10:38,12,38,2019-03-12 10:38,TRUE
16827,16827,192092128,3301,,VERBAL DISPUTE,D4,270,0,2019-11-13 22:49,2019,11,Wednesday,22,,HARRISON AVE,42.334553,-71.075608,"(42.33455300, -71.07560800)",2019-11-13,22:49,13,49,2019-11-13 22:49,TRUE
16833,16833,I192073515,423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,271,,2019-09-13 11:41,2019,9,Friday,11,Part One,HARRISON AVE,42.33455374,-71.07560801,"(42.33455374, -71.07560801)",2019-09-13,11:41,13,41,2019-09-13 11:41,TRUE
16834,16834,I192073515,3125,Warrant Arrests,WARRANT ARREST,D4,271,,2019-09-13 11:41,2019,9,Friday,11,Part Three,HARRISON AVE,42.33455374,-71.07560801,"(42.33455374, -71.07560801)",2019-09-13,11:41,13,41,2019-09-13 11:41,TRUE
16835,16835,I192073515,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",D4,271,,2019-09-13 11:41,2019,9,Friday,11,Part Two,HARRISON AVE,42.33455374,-71.07560801,"(42.33455374, -71.07560801)",2019-09-13,11:41,13,41,2019-09-13 11:41,TRUE
16836,16836,I192073515,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,271,,2019-09-13 11:41,2019,9,Friday,11,Part One,HARRISON AVE,42.33455374,-71.07560801,"(42.33455374, -71.07560801)",2019-09-13,11:41,13,41,2019-09-13 11:41,TRUE
16876,16876,I192055586,3114,Investigate Property,INVESTIGATE PROPERTY,B2,901,,2019-07-19 12:20,2019,7,Friday,12,Part Three,PARKER ST,42.33457444,-71.0951685,"(42.33457444, -71.09516850)",2019-07-19,12:20,19,20,2019-07-19 12:20,TRUE
16880,16880,I192001997,3301,Verbal Disputes,VERBAL DISPUTE,B2,593,,2019-01-08 9:46,2019,1,Tuesday,9,Part Three,FRANCIS ST,42.33457489,-71.10551207,"(42.33457489, -71.10551207)",2019-01-08,9:46,8,46,2019-01-08 9:46,TRUE
16937,16937,I192012056,2647,Other,THREATS TO DO BODILY HARM,B2,909,,2019-02-15 13:48,2019,2,Friday,13,Part Two,TREMONT ST,42.3346705,-71.088934,"(42.33467050, -71.08893400)",2019-02-15,13:48,15,48,2019-02-15 13:48,TRUE
17050,17050,I192065758,617,Larceny,LARCENY THEFT FROM BUILDING,C6,220,,2019-08-20 18:17,2019,8,Tuesday,18,Part One,DORCHESTER ST,42.33482917,-71.04705015,"(42.33482917, -71.04705015)",2019-08-20,18:17,20,17,2019-08-20 18:17,TRUE
17071,17071,I192014446,3115,Investigate Person,INVESTIGATE PERSON,D4,272,,2019-02-25 10:15,2019,2,Monday,10,Part Three,WASHINGTON ST,42.3348311,-71.07904134,"(42.33483110, -71.07904134)",2019-02-25,10:15,25,15,2019-02-25 10:15,TRUE
17161,17161,192087612,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4, ,0,2019-10-29 13:30,2019,10,Tuesday,13,,,42.335002,-71.07506,"(42.33500200, -71.07506000)",2019-10-29,13:30,29,30,2019-10-29 13:30,TRUE
17181,17181,I192074653,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,170,,2019-09-17 8:26,2019,9,Tuesday,8,Part Three,HARRISON AVE,42.335007,-71.075067,"(42.33500700, -71.07506700)",2019-09-17,8:26,17,26,2019-09-17 8:26,TRUE
17215,17215,I192044156,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D4,275,,2019-06-11 9:25,2019,6,Tuesday,9,Part Two,HAMMOND ST,42.33503481,-71.08240248,"(42.33503481, -71.08240248)",2019-06-11,9:25,11,25,2019-06-11 9:25,TRUE
17216,17216,I192044156,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,D4,275,,2019-06-11 9:25,2019,6,Tuesday,9,Part Two,HAMMOND ST,42.33503481,-71.08240248,"(42.33503481, -71.08240248)",2019-06-11,9:25,11,25,2019-06-11 9:25,TRUE
17352,17352,192097700,619,,LARCENY ALL OTHERS,B2,611,0,2019-12-04 13:59,2019,12,Wednesday,13,,VINING ST,42.335097,-71.108312,"(42.33509700, -71.10831200)",2019-12-04,13:59,4,59,2019-12-04 13:59,TRUE
17386,17386,192092761,801,,ASSAULT - SIMPLE,D4,171,0,2019-11-15 23:30,2019,11,Friday,23,,HARRISON AVE,42.335118,-71.074917,"(42.33511800, -71.07491700)",2019-11-15,23:30,15,30,2019-11-15 23:30,TRUE
17387,17387,192092561,2610,,TRESPASSING,D4,171,0,2019-11-15 12:15,2019,11,Friday,12,,HARRISON AVE,42.335118,-71.074917,"(42.33511800, -71.07491700)",2019-11-15,12:15,15,15,2019-11-15 12:15,TRUE
17391,17391,192094535,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,171,0,2019-10-16 12:30,2019,10,Wednesday,12,,HARRISON AVE,42.335118,-71.074917,"(42.33511800, -71.07491700)",2019-10-16,12:30,16,30,2019-10-16 12:30,TRUE
17393,17393,I192077401,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,171,,2019-09-25 13:03,2019,9,Wednesday,13,Part One,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-09-25,13:03,25,3,2019-09-25 13:03,TRUE
17453,17453,I192035503,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,171,,2019-05-13 12:40,2019,5,Monday,12,Part Two,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-05-13,12:40,13,40,2019-05-13 12:40,TRUE
17485,17485,I192020891,3125,Warrant Arrests,WARRANT ARREST,D4,171,,2019-03-21 11:50,2019,3,Thursday,11,Part Three,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-03-21,11:50,21,50,2019-03-21 11:50,TRUE
17486,17486,I192020891,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,171,,2019-03-21 11:50,2019,3,Thursday,11,Part Two,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-03-21,11:50,21,50,2019-03-21 11:50,TRUE
17487,17487,I192020891,617,Larceny,LARCENY THEFT FROM BUILDING,D4,171,,2019-03-21 11:50,2019,3,Thursday,11,Part One,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-03-21,11:50,21,50,2019-03-21 11:50,TRUE
17516,17516,I192009932,2648,Bomb Hoax,BOMB THREAT,D4,171,,2019-02-07 11:30,2019,2,Thursday,11,Part Two,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-02-07,11:30,7,30,2019-02-07 11:30,TRUE
17520,17520,I192009795,2610,Other,TRESPASSING,D4,171,,2019-02-06 14:16,2019,2,Wednesday,14,Part Two,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-02-06,14:16,6,16,2019-02-06 14:16,TRUE
17521,17521,I192009795,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,171,,2019-02-06 14:16,2019,2,Wednesday,14,Part Two,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-02-06,14:16,6,16,2019-02-06 14:16,TRUE
17522,17522,I192009795,2405,Disorderly Conduct,DISORDERLY CONDUCT,D4,171,,2019-02-06 14:16,2019,2,Wednesday,14,Part Two,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-02-06,14:16,6,16,2019-02-06 14:16,TRUE
17523,17523,I192009748,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,395,,2019-02-06 11:43,2019,2,Wednesday,11,Part Two,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2019-02-06,11:43,6,43,2019-02-06 11:43,TRUE
17657,17657,I192075451,3301,Verbal Disputes,VERBAL DISPUTE,D4,271,,2019-09-19 11:30,2019,9,Thursday,11,Part Three,WASHINGTON ST,42.3353741,-71.0783156,"(42.33537410, -71.07831560)",2019-09-19,11:30,19,30,2019-09-19 11:30,TRUE
17775,17775,I192030497,3502,Missing Person Located,MISSING PERSON - LOCATED,D4,273,,2019-04-25 15:30,2019,4,Thursday,15,Part Three,WASHINGTON ST,42.3354351,-71.07840204,"(42.33543510, -71.07840204)",2019-04-25,15:30,25,30,2019-04-25 15:30,TRUE
17776,17776,I192030497,3502,Missing Person Located,MISSING PERSON - LOCATED,D4,273,,2019-04-25 15:30,2019,4,Thursday,15,Part Three,WASHINGTON ST,42.3354351,-71.07840204,"(42.33543510, -71.07840204)",2019-04-25,15:30,25,30,2019-04-25 15:30,TRUE
17888,17888,I192017022,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,225,,2019-03-07 8:55,2019,3,Thursday,8,Part Three,E BROADWAY,42.33550576,-71.04291647,"(42.33550576, -71.04291647)",2019-03-07,8:55,7,55,2019-03-07 8:55,TRUE
17890,17890,I192012957,3125,Warrant Arrests,WARRANT ARREST,C6,225,,2019-02-19 11:19,2019,2,Tuesday,11,Part Three,E BROADWAY,42.33550576,-71.04291647,"(42.33550576, -71.04291647)",2019-02-19,11:19,19,19,2019-02-19 11:19,TRUE
17891,17891,I192012957,2647,Other,THREATS TO DO BODILY HARM,C6,225,,2019-02-19 11:19,2019,2,Tuesday,11,Part Two,E BROADWAY,42.33550576,-71.04291647,"(42.33550576, -71.04291647)",2019-02-19,11:19,19,19,2019-02-19 11:19,TRUE
17916,17916,I192074344,617,Larceny,LARCENY THEFT FROM BUILDING,C6,214,,2019-09-16 8:48,2019,9,Monday,8,Part One,W FOURTH ST,42.33553188,-71.04769502,"(42.33553188, -71.04769502)",2019-09-16,8:48,16,48,2019-09-16 8:48,TRUE
17946,17946,192094007,423,,ASSAULT - AGGRAVATED,D4,171,0,2019-11-20 13:26,2019,11,Wednesday,13,,HARRISON AVE,42.335559,-71.074363,"(42.33555900, -71.07436300)",2019-11-20,13:26,20,26,2019-11-20 13:26,TRUE
17959,17959,192080245,3115,,INVESTIGATE PERSON,D4,171,0,2019-10-04 11:00,2019,10,Friday,11,,HARRISON AVE,42.335559,-71.074363,"(42.33555900, -71.07436300)",2019-10-04,11:00,4,0,2019-10-04 11:00,TRUE
18060,18060,I192030332,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C6,222,,2019-04-25 7:56,2019,4,Thursday,7,Part Three,E BROADWAY,42.33557815,-71.03867318,"(42.33557815, -71.03867318)",2019-04-25,7:56,25,56,2019-04-25 7:56,TRUE
18086,18086,192085308,3018,,SICK/INJURED/MEDICAL - POLICE,C6,226,0,2019-10-21 10:43,2019,10,Monday,10,,E BROADWAY,42.335616,-71.036418,"(42.33561600, -71.03641800)",2019-10-21,10:43,21,43,2019-10-21 10:43,TRUE
18087,18087,192085304,3018,,SICK/INJURED/MEDICAL - POLICE,C6,226,0,2019-10-21 10:43,2019,10,Monday,10,,E BROADWAY,42.335616,-71.036418,"(42.33561600, -71.03641800)",2019-10-21,10:43,21,43,2019-10-21 10:43,TRUE
18088,18088,192087530,3805,,M/V ACCIDENT - POLICE VEHICLE,C6,226,0,2019-10-21 10:30,2019,10,Monday,10,,E BROADWAY,42.335616,-71.036418,"(42.33561600, -71.03641800)",2019-10-21,10:30,21,30,2019-10-21 10:30,TRUE
18089,18089,192087324,3018,,SICK/INJURED/MEDICAL - POLICE,C6,226,0,2019-10-21 10:30,2019,10,Monday,10,,E BROADWAY,42.335616,-71.036418,"(42.33561600, -71.03641800)",2019-10-21,10:30,21,30,2019-10-21 10:30,TRUE
18090,18090,192085171,423,,ASSAULT - AGGRAVATED,C6,226,0,2019-10-21 10:30,2019,10,Monday,10,,E BROADWAY,42.335616,-71.036418,"(42.33561600, -71.03641800)",2019-10-21,10:30,21,30,2019-10-21 10:30,TRUE
18105,18105,I192031798,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,222,,2019-04-30 13:19,2019,4,Tuesday,13,Part Three,E BROADWAY,42.33561661,-71.03641895,"(42.33561661, -71.03641895)",2019-04-30,13:19,30,19,2019-04-30 13:19,TRUE
18116,18116,I192015588,617,Larceny,LARCENY THEFT FROM BUILDING,C6,222,,2019-03-01 11:40,2019,3,Friday,11,Part One,E BROADWAY,42.33561661,-71.03641895,"(42.33561661, -71.03641895)",2019-03-01,11:40,1,40,2019-03-01 11:40,TRUE
18126,18126,192102299,3005,,SICK ASSIST,D4,170,0,2019-12-20 13:14,2019,12,Friday,13,,MASSACHUSETTS AVE,42.335621,-71.075823,"(42.33562100, -71.07582300)",2019-12-20,13:14,20,14,2019-12-20 13:14,TRUE
18130,18130,192086231,3001,,DEATH INVESTIGATION,D4,170,0,2019-10-24 13:54,2019,10,Thursday,13,,MASSACHUSETTS AVE,42.335621,-71.075823,"(42.33562100, -71.07582300)",2019-10-24,13:54,24,54,2019-10-24 13:54,TRUE
18134,18134,I192075063,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,D4,170,,2019-09-18 12:35,2019,9,Wednesday,12,Part Two,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.33562126, -71.07582361)",2019-09-18,12:35,18,35,2019-09-18 12:35,TRUE
18135,18135,I192075063,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",D4,170,,2019-09-18 12:35,2019,9,Wednesday,12,Part Two,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.33562126, -71.07582361)",2019-09-18,12:35,18,35,2019-09-18 12:35,TRUE
18136,18136,I192075063,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",D4,170,,2019-09-18 12:35,2019,9,Wednesday,12,Part Two,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.33562126, -71.07582361)",2019-09-18,12:35,18,35,2019-09-18 12:35,TRUE
18137,18137,I192074681,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,170,,2019-09-17 10:08,2019,9,Tuesday,10,Part Three,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.33562126, -71.07582361)",2019-09-17,10:08,17,8,2019-09-17 10:08,TRUE
18138,18138,I192071268,3115,Investigate Person,INVESTIGATE PERSON,D4,170,,2019-09-06 10:58,2019,9,Friday,10,Part Three,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.33562126, -71.07582361)",2019-09-06,10:58,6,58,2019-09-06 10:58,TRUE
18226,18226,I192070173,3410,Towed,TOWED MOTOR VEHICLE,C6,227,,2019-09-03 10:39,2019,9,Tuesday,10,Part Three,E BROADWAY,42.33571838,-71.03025592,"(42.33571838, -71.03025592)",2019-09-03,10:39,3,39,2019-09-03 10:39,TRUE
18349,18349,I192046443,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,172,,2019-06-19 9:25,2019,6,Wednesday,9,Part Three,ALBANY ST,42.33592746,-71.07008836,"(42.33592746, -71.07008836)",2019-06-19,9:25,19,25,2019-06-19 9:25,TRUE
18462,18462,I192021384,3410,Towed,TOWED MOTOR VEHICLE,C6,214,,2019-03-23 11:14,2019,3,Saturday,11,Part Three,W FIFTH ST,42.3359851,-71.05008287,"(42.33598510, -71.05008287)",2019-03-23,11:14,23,14,2019-03-23 11:14,TRUE
18548,18548,192092511,3114,,INVESTIGATE PROPERTY,C6,215,0,2019-11-15 10:54,2019,11,Friday,10,,TUDOR ST,42.336052,-71.05272,"(42.33605200, -71.05272000)",2019-11-15,10:54,15,54,2019-11-15 10:54,TRUE
18608,18608,I192003629,613,Larceny,LARCENY SHOPLIFTING,D14,790,,2019-01-14 11:21,2019,1,Monday,11,Part One,BEACON ST,42.33610729,-71.14908783,"(42.33610729, -71.14908783)",2019-01-14,11:21,14,21,2019-01-14 11:21,TRUE
18634,18634,192083809,3114,,INVESTIGATE PROPERTY,B2, ,0,2019-10-11 11:15,2019,10,Friday,11,,FENWOOD RD,42.336112,-71.109278,"(42.33611200, -71.10927800)",2019-10-11,11:15,11,15,2019-10-11 11:15,TRUE
18677,18677,I192015033,351,Robbery,ROBBERY - BANK,C6,213,,2019-03-01 9:45,2019,3,Friday,9,Part One,W BROADWAY,42.336112,-71.04665434,"(42.33611200, -71.04665434)",2019-03-01,9:45,1,45,2019-03-01 9:45,TRUE
18678,18678,I192015033,3125,Warrant Arrests,WARRANT ARREST,C6,213,,2019-03-01 9:45,2019,3,Friday,9,Part Three,W BROADWAY,42.336112,-71.04665434,"(42.33611200, -71.04665434)",2019-03-01,9:45,1,45,2019-03-01 9:45,TRUE
18691,18691,I192072494,619,Larceny,LARCENY ALL OTHERS,B2,611,,2019-09-10 11:20,2019,9,Tuesday,11,Part One,FENWOOD RD,42.33611274,-71.10927826,"(42.33611274, -71.10927826)",2019-09-10,11:20,10,20,2019-09-10 11:20,TRUE
