Customer_No,Customer_Name,Street,Start_date
98928,WESTON & SAMPSON,PARLEY AV,2019-08-14
95497,RJV CONSTRUCTION CORP.,BAKER ST,2019-08-14
95497,RJV CONSTRUCTION CORP.,SPRING ST,2019-08-14
97297,EVERSOURCE ELECTRIC,ALBANY ST,2019-08-14
6040,Feeney Bros Excavation,BREMEN ST,2019-08-14
100386,KAPLAN CONSTRUCTION,BABCOCK ST,2019-08-14
100008,MIDWAY UTILITY CONTRACTORS LLC,BOWDOIN ST,2019-08-14
396,National Grid,HARBELL TR,2019-08-14
6040,Feeney Bros Excavation,MARLBOROUGH ST,2019-08-14
49476,NATIONAL WATER MAIN CLEANING CO,E 6TH ST,2019-08-14
6040,Feeney Bros Excavation,WOODWARD ST,2019-08-14
55,Boston Water & Sewer Commission,LARCHMONT ST,2019-08-14
104020,RONAN 953 LLC,MATCHETT ST,2019-08-14
5544,BILT RITE CONSTRUCTION,ROXBURY ST,2019-08-14
98849,RAPID FLOW INCORPORATED,COLUMBIA RD,2019-08-14
41853,"Phoenix Communications, Inc.",NATIONAL ST,2019-08-14
388,TURNER CONSTRUCTION CO,AUTUMN ST,2019-08-14
41853,"Phoenix Communications, Inc.",W 4TH ST,2019-08-14
2590,SUFFOLK CONSTRUCTION,DEVONSHIRE ST,2019-08-14
97297,EVERSOURCE ELECTRIC,W 9TH ST,2019-08-14
7389,MIRRA COMPANY INCORPORATED,CENTRE ST,2019-08-14
103650,ROCHESTER BITUMINOUS PRODUCTS,MALLET ST,2019-08-14
416,VERIZON,ASHMONT ST,2019-08-14
416,VERIZON,DITSON ST,2019-08-14
49,CITY OF BOSTON - PWD (VOUCHER) RESURFACING CONTRACTS,N CRESCENT CIRCUIT,2019-08-14
416,VERIZON,COLUMBIA RD,2019-08-14
2838,"MORIARTY, JOHN & ASSOC",SUMMER ST,2019-08-14
97297,EVERSOURCE ELECTRIC,PETERBOROUGH ST,2019-08-14
6040,Feeney Bros Excavation,MURDOCK ST,2019-08-14
2838,"MORIARTY, JOHN & ASSOC",GUEST ST,2019-08-14
8641,EVERSOURCE GAS,METROPOLITAN AV,2019-08-14
416,VERIZON,MERIDIAN ST,2019-08-14
106293,FERRARA ROOFING & CONTRACTING INC,W 3RD ST,2019-08-14
6798,Pick Crane Serv,PHILLIPS ST,2019-08-14
97297,EVERSOURCE ELECTRIC,AMERICAN LEGION HY,2019-08-14
41853,"Phoenix Communications, Inc.",RICHMOND ST,2019-08-14
416,VERIZON,WASHINGTON ST,2019-08-14
7389,MIRRA COMPANY INCORPORATED,E CANTON ST,2019-08-14
95347,VEOLIA ENERGY,KNEELAND ST,2019-08-14
6040,Feeney Bros Excavation,COLUMBIA RD,2019-08-14
49,CITY OF BOSTON - PWD (VOUCHER) RESURFACING CONTRACTS,RUSHMORE ST,2019-08-14
2687,LENDLEASE,LEWIS ST,2019-08-14
6040,Feeney Bros Excavation,JONES AV,2019-08-14
30288,Cranshaw Construction,SUMNER ST,2019-08-14
416,VERIZON,WINSHIP ST,2019-08-14
98850,RILEY BROTHERS INC,REGIS RD,2019-08-14
102259,RELATED BEAL,HARRISON AV,2019-08-14
6040,Feeney Bros Excavation,FANEUIL ST,2019-08-14
6040,Feeney Bros Excavation,BURMAH ST,2019-08-14
5925,"DERENZO,J CO",SUMMER ST,2019-08-14
384,SHAWMUT DESIGN & CONSTRUCTION,FRANKLIN ST,2019-08-14
20137,BOSTON PROPERTY DEVELOPMENT,W BROADWAY,2019-08-14
2838,"MORIARTY, JOHN & ASSOC",SEAPORT BL,2019-08-14
49,CITY OF BOSTON - PWD (VOUCHER) RESURFACING CONTRACTS,CUSHMAN RD,2019-08-14
53136,"NEI - NORTHEAST INTERIORS, INC",RUGGLES ST,2019-08-14
98993,LV MAWN,W 4TH ST,2019-08-14
7325,Consigli Construction Co Inc,QUAKER LA,2019-08-14
416,VERIZON,BOSTON ST,2019-08-14
97297,EVERSOURCE ELECTRIC,BRAINERD RD,2019-08-14
416,VERIZON,JERSEY ST,2019-08-14
396,National Grid,KENWOOD ST,2019-08-14
384,SHAWMUT DESIGN & CONSTRUCTION,E NEWTON ST,2019-08-14
81519,CASHMAN DUTRA( JAY CASHMAN),BOSTON HARBOR,2019-08-14
416,VERIZON,KILSYTH RD,2019-08-14
6040,Feeney Bros Excavation,W SPRINGFIELD ST,2019-08-14
396,National Grid,LOUDERS LA,2019-08-14
99466,NEWPORT CONSTRUCTION,CONGRESS ST,2019-08-14
6040,Feeney Bros Excavation,BROOKS ST,2019-08-14
55,Boston Water & Sewer Commission,HARRISON AV,2019-08-14
2602,TISHMAN CONSTRUCTION CORP,SUDBURY ST,2019-08-15
416,VERIZON,NEWBURY ST,2019-08-15
2602,TISHMAN CONSTRUCTION CORP,NEW SUDBURY ST,2019-08-15
95347,VEOLIA ENERGY,SUMMER ST,2019-08-15
6040,Feeney Bros Excavation,REVERE ST,2019-08-15
2590,SUFFOLK CONSTRUCTION,FEDERAL ST,2019-08-15
2602,TISHMAN CONSTRUCTION CORP,LOMASNEY WY,2019-08-15
66375,BUILDING RESTORATION SERVICES CORP,HANOVER ST,2019-08-15
7325,Consigli Construction Co Inc,TEMPLE ST,2019-08-15
98613,"Albanese D & S, Inc",BROOKS ST,2019-08-15
97297,EVERSOURCE ELECTRIC,ST BOTOLPH ST,2019-08-15
416,VERIZON,TREMONT ST,2019-08-15
7371,Lorusso Corporation,FAWNDALE RD,2019-08-15
6316,K & K Excavation Co,FENDALE AV,2019-08-15
2590,SUFFOLK CONSTRUCTION,E DEDHAM ST,2019-08-15
40878,COMMODORE BUILDERS,AMORY ST,2019-08-15
6141,"GIOIOSO, P & SONS INC",DANA AV,2019-08-15
6040,Feeney Bros Excavation,DAY ST,2019-08-15
416,VERIZON,CENTRE ST,2019-08-15
103943,NEW BOSTON BUILDERS,WASHINGTON ST,2019-08-15
90080,M & M CONSTRUCTION SERVICES,CENTRE ST,2019-08-15
5940,DIMEO CONSTRUCTION,WASHINGTON ST,2019-08-15
46080,KEASH EXCAVATING INC,ORANGE ST,2019-08-15
55,Boston Water & Sewer Commission,BASTO TR,2019-08-15
416,VERIZON,WASHINGTON ST,2019-08-15
6040,Feeney Bros Excavation,PARK ST,2019-08-15
55,Boston Water & Sewer Commission,SOUTH ST,2019-08-15
98849,RAPID FLOW INCORPORATED,BROOKLEY RD,2019-08-15
104917,HERCULES DRAIN,REDDY AV,2019-08-15
396,National Grid,PRESCOTT ST,2019-08-15
5544,BILT RITE CONSTRUCTION,ROXBURY ST,2019-08-15
6040,Feeney Bros Excavation,HOLBORN ST,2019-08-15
55,Boston Water & Sewer Commission,AMES ST,2019-08-15
416,VERIZON,HARVARD ST,2019-08-15
19245,Maverick Construction,B ST,2019-08-15
40878,COMMODORE BUILDERS,COLUMBIA RD,2019-08-15
106130,GEI CONSULTANTS INC,DORCHESTER AV,2019-08-15
416,VERIZON,BRADEEN ST,2019-08-15
392,BOND BROTHERS,WESTERN AV,2019-08-15
43814,Barletta Engineering Corp,SOUTH ST,2019-08-15
2838,"MORIARTY, JOHN & ASSOC",CAUSEWAY ST,2019-08-15
5544,BILT RITE CONSTRUCTION,HYDE PARK AV,2019-08-15
416,VERIZON,SPRING ST,2019-08-15
396,National Grid,FREEPORT ST,2019-08-15
6040,Feeney Bros Excavation,N BEACON ST,2019-08-15
41853,"Phoenix Communications, Inc.",HUNTINGTON AV,2019-08-15
416,VERIZON,SOLEY ST,2019-08-15
2687,LENDLEASE,LEWIS ST,2019-08-15
97000,"CHAN,SING MING",GOVE ST,2019-08-15
97297,EVERSOURCE ELECTRIC,CAUSEWAY ST,2019-08-15
416,VERIZON,BORDER ST,2019-08-15
6040,Feeney Bros Excavation,WHITE ST,2019-08-15
396,National Grid,PRINCETON ST,2019-08-15
2590,SUFFOLK CONSTRUCTION,SUMMER ST,2019-08-15
2873,JF WHITE CONTRACTING CO,N WASHINGTON ST,2019-08-15
6040,Feeney Bros Excavation,DUDLEY ST,2019-08-15
2838,"MORIARTY, JOHN & ASSOC",POST OFFICE SQ,2019-08-15
416,VERIZON,BULFINCH PL,2019-08-15
416,VERIZON,MAIN ST,2019-08-15
7389,MIRRA COMPANY INCORPORATED,TREMONT ST,2019-08-15
2590,SUFFOLK CONSTRUCTION,BOYLSTON ST,2019-08-15
7389,MIRRA COMPANY INCORPORATED,BOYLSTON ST,2019-08-15
95347,VEOLIA ENERGY,ATLANTIC AV,2019-08-15
99163,BPD - BOSTON POLICE DEPARTMENT - B.F.S.,SCHROEDER PLAZA,2019-08-15
384,SHAWMUT DESIGN & CONSTRUCTION,KNEELAND ST,2019-08-15
33830,SIGN DESIGN INC.,OAK ST,2019-08-15
25425,G GREENE CONSTRUCTION,BEACON ST,2019-08-15
14165,UMBRO & SONS CONSTRUCTION,MASSACHUSETTS AV,2019-08-15
98835,FED CORP,BELNEL RD,2019-08-15
98850,RILEY BROTHERS INC,BURNETT ST,2019-08-15
98850,RILEY BROTHERS INC,WASHINGTON ST,2019-08-15
90255,DELPHI CONSTRUCTION,BURNETT ST,2019-08-15
396,National Grid,W BROOKLINE ST,2019-08-15
102259,RELATED BEAL,HARRISON AV,2019-08-15
396,National Grid,HOLTON ST,2019-08-15
416,VERIZON,PARK VALE AV,2019-08-15
416,VERIZON,MAYNARD ST,2019-08-15
49,CITY OF BOSTON - PWD (VOUCHER) RESURFACING CONTRACTS,N CRESCENT CIRCUIT,2019-08-15
416,VERIZON,WAVERLY ST,2019-08-15
416,VERIZON,SURREY ST,2019-08-15
396,National Grid,OWEN ST,2019-08-15
97297,EVERSOURCE ELECTRIC,WASHINGTON ST,2019-08-15
98850,RILEY BROTHERS INC,CUMMINS HY,2019-08-15
55,Boston Water & Sewer Commission,WESTVIEW ST,2019-08-15
396,National Grid,NORFOLK AV,2019-08-15
2590,SUFFOLK CONSTRUCTION,DALTON ST,2019-08-15
100781,GENESIS UTILITIES CORP,BROOK AV,2019-08-15
416,VERIZON,CHESTNUT HILL AV,2019-08-15
396,National Grid,GEORGE ST,2019-08-15
416,VERIZON,BLAKE ST,2019-08-15
103650,ROCHESTER BITUMINOUS PRODUCTS,EDWIN ST,2019-08-15
97297,EVERSOURCE ELECTRIC,TAUNTON AV,2019-08-15
416,VERIZON,STANIFORD ST,2019-08-15
6040,Feeney Bros Excavation,BREMEN ST,2019-08-15
6926,SRC ROOFING,VAN NESS ST,2019-08-15
97297,EVERSOURCE ELECTRIC,BOYLSTON ST,2019-08-15
100008,MIDWAY UTILITY CONTRACTORS LLC,BOWDOIN ST,2019-08-15
33958,"Belli,A R",ST BOTOLPH ST,2019-08-15
97297,EVERSOURCE ELECTRIC,BROOKLINE AV,2019-08-15
396,National Grid,M ST,2019-08-15
416,VERIZON,BEACON ST,2019-08-15
30087,WCI CORPORATION,ATHERTON ST,2019-08-15
2838,"MORIARTY, JOHN & ASSOC",CONGRESS ST,2019-08-15
97074,PLACETAILOR INC,CENTRE ST,2019-08-15
104322,TOCCI BUILDING CO,WAREHAM ST,2019-08-15
396,National Grid,DORCHESTER AV,2019-08-15
7389,MIRRA COMPANY INCORPORATED,DORCHESTER AV,2019-08-15
6040,Feeney Bros Excavation,COLUMBIA RD,2019-08-15
55,Boston Water & Sewer Commission,PLEASANT ST,2019-08-15
388,TURNER CONSTRUCTION CO,AUTUMN ST,2019-08-15
6040,Feeney Bros Excavation,VALLEY RD,2019-08-15
98907,PV BARONE CONSTRUCTION,BLUE HILL AV,2019-08-15
6562,METRO EQUIPMENT CORP,KELLEY CT,2019-08-15
97297,EVERSOURCE ELECTRIC,FREEPORT ST,2019-08-15
103943,NEW BOSTON BUILDERS,WARD ST,2019-08-15
21133,D'Allessandro Corp,HARRISON AV,2019-08-15
384,SHAWMUT DESIGN & CONSTRUCTION,E NEWTON ST,2019-08-15
6040,Feeney Bros Excavation,BROOKS ST,2019-08-15
95118,JR VINAGRO INC,E 9TH ST,2019-08-15
2838,"MORIARTY, JOHN & ASSOC",NEW CHARDON ST,2019-08-15
97297,EVERSOURCE ELECTRIC,WOODWARD ST,2019-08-15
6040,Feeney Bros Excavation,WOODWARD ST,2019-08-15
103757,NEW WAVE COMMUNICATIONS,SUMMER ST,2019-08-15
13165,"SUSI ,MARIO & SON",CENTRE ST,2019-08-15
2838,"MORIARTY, JOHN & ASSOC",GUEST ST,2019-08-15
41853,"Phoenix Communications, Inc.",CAMBRIDGE ST,2019-08-15
8641,EVERSOURCE GAS,METROPOLITAN AV,2019-08-15
388,TURNER CONSTRUCTION CO,BROOKLINE AV,2019-08-15
21133,D'Allessandro Corp,NORTHAMPTON ST,2019-08-15
99180,SHEERIN CONSTRUCTION,HYDE PARK AV,2019-08-15
97297,EVERSOURCE ELECTRIC,DORRANCE ST,2019-08-15
98907,PV BARONE CONSTRUCTION,INTERVALE ST,2019-08-15
6040,Feeney Bros Excavation,OLDFIELDS RD,2019-08-15
97297,EVERSOURCE ELECTRIC,LINCOLN ST,2019-08-15
2590,SUFFOLK CONSTRUCTION,SHAWMUT AV,2019-08-15
36838,K & G ENTRANCES,BERKELEY ST,2019-08-15
14165,UMBRO & SONS CONSTRUCTION,WORCESTER ST,2019-08-15
2838,"MORIARTY, JOHN & ASSOC",BEACON ST,2019-08-15
98835,FED CORP,WILSON PK,2019-08-15
388,TURNER CONSTRUCTION CO,E SERVICE RD,2019-08-15
103650,ROCHESTER BITUMINOUS PRODUCTS,FERNCROFT RD,2019-08-15
36729,WAYPOINT DEVELOPMENT LLC,WALLEY ST,2019-08-15
396,National Grid,NORFOLK ST,2019-08-15
30288,Cranshaw Construction,SUMNER ST,2019-08-15
416,VERIZON,MEDFORD ST,2019-08-15
6040,Feeney Bros Excavation,FANEUIL ST,2019-08-15
5544,BILT RITE CONSTRUCTION,OCONNOR WY,2019-08-15
49,CITY OF BOSTON - PWD (VOUCHER) RESURFACING CONTRACTS,MONASTERY RD,2019-08-15
381,Lee Kennedy Co,OCONNELL WY,2019-08-15
384,SHAWMUT DESIGN & CONSTRUCTION,FRANKLIN ST,2019-08-15
99180,SHEERIN CONSTRUCTION,WASHINGTON ST,2019-08-15
6040,Feeney Bros Excavation,MERIDIAN ST,2019-08-15
6761,PAOLINI CORPORATION,MARMION ST,2019-08-15
71575,"M & X UTILITY COMPANY, INC.",ATHENS ST,2019-08-15
53136,"NEI - NORTHEAST INTERIORS, INC",RUGGLES ST,2019-08-15
20137,BOSTON PROPERTY DEVELOPMENT,W BROADWAY,2019-08-15
103818,WALTER HUNTINGTON LLC,MASSACHUSETTS AV,2019-08-15
2649,John B Cruz Construction Inc,HUMBOLDT AV,2019-08-15
49476,NATIONAL WATER MAIN CLEANING CO,COLUMBIA RD,2019-08-15
97297,EVERSOURCE ELECTRIC,MARKET ST,2019-08-15
416,VERIZON,PARK DR,2019-08-15
2873,JF WHITE CONTRACTING CO,CITY SQ,2019-08-15
6040,Feeney Bros Excavation,MASSACHUSETTS AV,2019-08-15
54732,Tree Specialists Inc,REVERE ST,2019-08-15
416,VERIZON,BLOSSOM ST,2019-08-15
81519,CASHMAN DUTRA( JAY CASHMAN),BOSTON HARBOR,2019-08-15
98835,FED CORP,HOPEWELL RD,2019-08-15
416,VERIZON,DEVENS ST,2019-08-15
98849,RAPID FLOW INCORPORATED,DORCHESTER AV,2019-08-15
99180,SHEERIN CONSTRUCTION,SPRING ST,2019-08-15
416,VERIZON,SARATOGA ST,2019-08-15
416,VERIZON,WINSHIP ST,2019-08-15
416,VERIZON,HUMBOLDT AV,2019-08-15
2838,"MORIARTY, JOHN & ASSOC",COLUMBUS AV,2019-08-15
2696,CAVALIERI CONSTRUCTION,VALLAR RD,2019-08-15
6040,Feeney Bros Excavation,N ST,2019-08-15
5660,COMCAST,HARRISON AV,2019-08-15
108344,"WINDOW FILM DEPOT, INC",FARGO ST,2019-08-15
2602,TISHMAN CONSTRUCTION CORP,SUDBURY ST,2019-08-16
6040,Feeney Bros Excavation,DUDLEY ST,2019-08-16
416,VERIZON,QUINCEFIELD ST,2019-08-16
416,VERIZON,BULFINCH PL,2019-08-16
55,Boston Water & Sewer Commission,REXFORD ST,2019-08-16
97297,EVERSOURCE ELECTRIC,MARKET ST,2019-08-16
6040,Feeney Bros Excavation,N BEACON ST,2019-08-16
98850,RILEY BROTHERS INC,CUMMINS HY,2019-08-16
2838,"MORIARTY, JOHN & ASSOC",E SERVICE RD,2019-08-16
6040,Feeney Bros Excavation,COLONIAL AV,2019-08-16
416,VERIZON,WESTERN AV,2019-08-16
16087,SLEEPING DOG PROPERTIES/SDP CONSTR.,ST BOTOLPH ST,2019-08-16
13165,"SUSI ,MARIO & SON",CENTRE ST,2019-08-16
95347,VEOLIA ENERGY,ATLANTIC AV,2019-08-16
2590,SUFFOLK CONSTRUCTION,SUMMER ST,2019-08-16
2873,JF WHITE CONTRACTING CO,N WASHINGTON ST,2019-08-16
7325,Consigli Construction Co Inc,TEMPLE ST,2019-08-16
2602,TISHMAN CONSTRUCTION CORP,NEW SUDBURY ST,2019-08-16
87325,CATAMOUNT BUILDERS,ISABELLA ST,2019-08-16
2590,SUFFOLK CONSTRUCTION,BOYLSTON ST,2019-08-16
95347,VEOLIA ENERGY,SUMMER ST,2019-08-16
102304,REFRIGERATION AIRTECH,HANOVER ST,2019-08-16
30288,Cranshaw Construction,SUMNER ST,2019-08-16
2838,"MORIARTY, JOHN & ASSOC",CAUSEWAY ST,2019-08-16
2602,TISHMAN CONSTRUCTION CORP,LOMASNEY WY,2019-08-16
416,VERIZON,CAMBRIDGE ST,2019-08-16
416,VERIZON,BORDER ST,2019-08-16
97297,EVERSOURCE ELECTRIC,MT VERNON ST,2019-08-16
8641,EVERSOURCE GAS,METROPOLITAN AV,2019-08-16
396,National Grid,SOUTH ST,2019-08-16
396,National Grid,SUNNYBANK RD,2019-08-16
97297,EVERSOURCE ELECTRIC,DALTON ST,2019-08-16
98850,RILEY BROTHERS INC,BURNETT ST,2019-08-16
6141,"GIOIOSO, P & SONS INC",DANA AV,2019-08-16
40878,COMMODORE BUILDERS,AMORY ST,2019-08-16
98849,RAPID FLOW INCORPORATED,SOUTH ST,2019-08-16
103943,NEW BOSTON BUILDERS,WASHINGTON ST,2019-08-16
102259,RELATED BEAL,HARRISON AV,2019-08-16
55,Boston Water & Sewer Commission,MT VERNON ST,2019-08-16
2590,SUFFOLK CONSTRUCTION,E DEDHAM ST,2019-08-16
6040,Feeney Bros Excavation,PARK ST,2019-08-16
97297,EVERSOURCE ELECTRIC,STANWOOD ST,2019-08-16
90255,DELPHI CONSTRUCTION,BURNETT ST,2019-08-16
6040,Feeney Bros Excavation,DAY ST,2019-08-16
416,VERIZON,CONWAY ST,2019-08-16
416,VERIZON,HYDE PARK AV,2019-08-16
416,VERIZON,BLANVON RD,2019-08-16
97297,EVERSOURCE ELECTRIC,BEACON ST,2019-08-16
416,VERIZON,KIRKWOOD RD,2019-08-16
98847,PG  CONSTRUCTION INC,GEORGE ST,2019-08-16
396,National Grid,OWEN ST,2019-08-16
103799,ROSCITI CONSTRUCTION,BAY STATE RD,2019-08-16
2649,John B Cruz Construction Inc,WALNUT PK,2019-08-16
396,National Grid,DORCHESTER AV,2019-08-16
416,VERIZON,WASHINGTON ST,2019-08-16
2590,SUFFOLK CONSTRUCTION,DEVONSHIRE ST,2019-08-16
6040,Feeney Bros Excavation,BREMEN ST,2019-08-16
71575,"M & X UTILITY COMPANY, INC.",ATHENS ST,2019-08-16
416,VERIZON,HARVARD AV,2019-08-16
396,National Grid,LANGDON ST,2019-08-16
6761,PAOLINI CORPORATION,MARMION ST,2019-08-16
98907,PV BARONE CONSTRUCTION,BLUE HILL AV,2019-08-16
55,Boston Water & Sewer Commission,E BROADWAY,2019-08-16
2838,"MORIARTY, JOHN & ASSOC",POST OFFICE SQ,2019-08-16
49,CITY OF BOSTON - PWD (VOUCHER) RESURFACING CONTRACTS,LAROSE PL,2019-08-16
53136,"NEI - NORTHEAST INTERIORS, INC",CABOT ST,2019-08-16
6040,Feeney Bros Excavation,VALLEY RD,2019-08-16
103650,ROCHESTER BITUMINOUS PRODUCTS,EDWIN ST,2019-08-16
21133,D'Allessandro Corp,NORTHAMPTON ST,2019-08-16
55,Boston Water & Sewer Commission,SYCAMORE ST,2019-08-16
6121,Gentle Giant Moving,PINCKNEY ST,2019-08-16
98907,PV BARONE CONSTRUCTION,INTERVALE ST,2019-08-16
381,Lee Kennedy Co,STANIFORD ST,2019-08-16
40878,COMMODORE BUILDERS,HEMENWAY ST,2019-08-16
381,Lee Kennedy Co,OCONNELL WY,2019-08-16
6040,Feeney Bros Excavation,REVERE ST,2019-08-16
6040,Feeney Bros Excavation,SARATOGA ST,2019-08-16
416,VERIZON,PALACE RD,2019-08-16
6316,K & K Excavation Co,FENDALE AV,2019-08-16
14165,UMBRO & SONS CONSTRUCTION,ASHBURTON PL,2019-08-16
97297,EVERSOURCE ELECTRIC,ROXBURY ST,2019-08-16
2838,"MORIARTY, JOHN & ASSOC",WASHINGTON ST,2019-08-16
14165,UMBRO & SONS CONSTRUCTION,WORCESTER ST,2019-08-16
6040,Feeney Bros Excavation,BROOKS ST,2019-08-16
98850,RILEY BROTHERS INC,BAY STATE RD,2019-08-16
98613,"Albanese D & S, Inc",BROOKS ST,2019-08-16
396,National Grid,TRENTON ST,2019-08-16
55,Boston Water & Sewer Commission,BROOKS ST,2019-08-16
6040,Feeney Bros Excavation,WOODWARD ST,2019-08-16
2966,MIDDLESEX CORPORATION,WASHINGTON ST,2019-08-16
99163,BPD - BOSTON POLICE DEPARTMENT - B.F.S.,SCHROEDER PLAZA,2019-08-16
2590,SUFFOLK CONSTRUCTION,DALTON ST,2019-08-16
103943,NEW BOSTON BUILDERS,W BROADWAY,2019-08-16
20137,BOSTON PROPERTY DEVELOPMENT,W BROADWAY,2019-08-16
106644,STERLING CONSTRUCTION & DEVELOPMENT LLC,SYMPHONY RD,2019-08-16
98835,FED CORP,WILSON PK,2019-08-16
40878,COMMODORE BUILDERS,COLUMBIA RD,2019-08-16
97297,EVERSOURCE ELECTRIC,SACO ST,2019-08-16
5743,Cicconi & Sons,BOYLSTON ST,2019-08-16
416,VERIZON,STRATHMORE RD,2019-08-16
384,SHAWMUT DESIGN & CONSTRUCTION,FRANKLIN ST,2019-08-16
6562,METRO EQUIPMENT CORP,KELLEY CT,2019-08-16
21133,D'Allessandro Corp,HARRISON AV,2019-08-16
388,TURNER CONSTRUCTION CO,E SERVICE RD,2019-08-16
384,SHAWMUT DESIGN & CONSTRUCTION,E NEWTON ST,2019-08-16
6040,Feeney Bros Excavation,OLDFIELDS RD,2019-08-16
6040,Feeney Bros Excavation,FANEUIL ST,2019-08-16
396,National Grid,PERCIVAL ST,2019-08-16
53136,"NEI - NORTHEAST INTERIORS, INC",RUGGLES ST,2019-08-16
5753,JAYNES INDUSTRIAL MOVING INC,W CANTON ST,2019-08-16
2838,"MORIARTY, JOHN & ASSOC",CONGRESS ST,2019-08-16
96982,New England Electrical Contracting Corp,MARKET ST,2019-08-16
97297,EVERSOURCE ELECTRIC,ALBANY ST,2019-08-16
2590,SUFFOLK CONSTRUCTION,VALLAR RD,2019-08-16
388,TURNER CONSTRUCTION CO,AUTUMN ST,2019-08-16
100008,MIDWAY UTILITY CONTRACTORS LLC,BOWDOIN ST,2019-08-16
98993,LV MAWN,W 3RD ST,2019-08-16
98849,RAPID FLOW INCORPORATED,DORCHESTER AV,2019-08-16
416,VERIZON,LAKE ST,2019-08-16
416,VERIZON,TREMONT ST,2019-08-16
416,VERIZON,MORTON ST,2019-08-16
6040,Feeney Bros Excavation,WHITE ST,2019-08-16
416,VERIZON,FRANKFORT ST,2019-08-16
2838,"MORIARTY, JOHN & ASSOC",BEACON ST,2019-08-16
6562,METRO EQUIPMENT CORP,THANE ST,2019-08-16
103307,MAL'S TREE & LANDSCAPE,ADAMS ST,2019-08-16
6040,Feeney Bros Excavation,COLUMBIA RD,2019-08-16
416,VERIZON,LANSDOWNE ST,2019-08-16
98849,RAPID FLOW INCORPORATED,COLUMBIA RD,2019-08-16
55,Boston Water & Sewer Commission,PRINCE ST,2019-08-16
416,VERIZON,BROOKLINE AV,2019-08-16
396,National Grid,CENTRE ST,2019-08-16
5940,DIMEO CONSTRUCTION,WASHINGTON ST,2019-08-16
97881,"DW White Construction, Inc.",BROADWAY,2019-08-16
95497,RJV CONSTRUCTION CORP.,O ST,2019-08-16
19245,Maverick Construction,B ST,2019-08-16
16377,GILBANE BUILDING CO,BOYLSTON ST,2019-08-16
97297,EVERSOURCE ELECTRIC,LINCOLN ST,2019-08-16
97121,COVIELLO ELECTRIC & GENERAL CONTRACTING,BLUE HILL AV,2019-08-16
416,VERIZON,WASHINGTON ST,2019-08-17
6562,METRO EQUIPMENT CORP,HALLECK ST,2019-08-17
103085,REYNOLDS CONSTRUCTION,WASHINGTON ST,2019-08-17
2838,"MORIARTY, JOHN & ASSOC",WASHINGTON ST,2019-08-17
49,CITY OF BOSTON - PWD,TREMONT ST,2019-08-17
99310,ESI ADVANCED WIRELESS NETWORKS,ARLINGTON ST,2019-08-17
95347,VEOLIA ENERGY,ASHBURTON PL,2019-08-17
95347,VEOLIA ENERGY,SUMMER ST,2019-08-17
6040,Feeney Bros Excavation,DAY ST,2019-08-17
107895,J DEERY EXCAVATING INC,ALBERTA ST,2019-08-17
6040,Feeney Bros Excavation,N BEACON ST,2019-08-17
60321,"AQUALINE UTILITY, INC.",DORCHESTER AV,2019-08-17
6040,Feeney Bros Excavation,BREMEN ST,2019-08-17
7389,MIRRA COMPANY INCORPORATED,COLUMBUS AV,2019-08-17
97297,EVERSOURCE ELECTRIC,TREMONT ST,2019-08-17
7022,PJ SPILLANE CO,FRANKLIN ST,2019-08-17
8641,EVERSOURCE GAS,METROPOLITAN AV,2019-08-17
381,Lee Kennedy Co,STUART ST,2019-08-17
46080,KEASH EXCAVATING INC,ORANGE ST,2019-08-17
7389,MIRRA COMPANY INCORPORATED,CENTRE ST,2019-08-17
2838,"MORIARTY, JOHN & ASSOC",SEAPORT BL,2019-08-17
6040,Feeney Bros Excavation,NEWMARKET SQ,2019-08-17
25425,G GREENE CONSTRUCTION,CHARLES ST,2019-08-17
100608,MCEVOY CONSTRUCTION,BROAD ST,2019-08-17
2590,SUFFOLK CONSTRUCTION,A ST,2019-08-17
2602,TISHMAN CONSTRUCTION CORP,SUDBURY ST,2019-08-17
7389,MIRRA COMPANY INCORPORATED,WASHINGTON ST,2019-08-17
2838,"MORIARTY, JOHN & ASSOC",POST OFFICE SQ,2019-08-17
2838,"MORIARTY, JOHN & ASSOC",D ST,2019-08-17
416,VERIZON,SARATOGA ST,2019-08-17
100386,KAPLAN CONSTRUCTION,BEACON ST,2019-08-17
97297,EVERSOURCE ELECTRIC,MT VERNON ST,2019-08-17
95497,RJV CONSTRUCTION CORP.,E 6TH ST,2019-08-17
381,Lee Kennedy Co,TREMONT ST,2019-08-17
2838,"MORIARTY, JOHN & ASSOC",CONGRESS ST,2019-08-17
98850,RILEY BROTHERS INC,BAY STATE RD,2019-08-17
6040,Feeney Bros Excavation,FANEUIL ST,2019-08-17
97297,EVERSOURCE ELECTRIC,CAUSEWAY ST,2019-08-17
102987,ATLANTIC COAST UTILITIES,BOWMAN ST,2019-08-17
396,National Grid,SPARHAWK ST,2019-08-17
6798,Pick Crane Serv,COURT SQ,2019-08-17
74439,AMQUIP CRANE RENTAL,PILGRIM RD,2019-08-17
416,VERIZON,WINSHIP ST,2019-08-17
2838,"MORIARTY, JOHN & ASSOC",CAUSEWAY ST,2019-08-17
40878,COMMODORE BUILDERS,A ST,2019-08-17
8641,EVERSOURCE GAS,DANA AV,2019-08-17
416,VERIZON,CAMBRIDGE ST,2019-08-17
