,Fiscal Year,Fund Number,Fund Name,Cabinet/Secretariat Name,Department Code,Department Name,Appropriation/Account Number,Appropriation/Account Name,Beginning Balance/Prior Appropriation Continued (PAC),Original Enacted Budget (General Appropriation Act),Supplemental Budget Appropriations,Transfer In,Transfer Out,Authorized Retained Revenue Floor,Authorized Retained Revenue Ceiling,Retained Revenue Estimate,Retained Revenue Collected,Planned Savings (9C Spending Cut),Total Enacted Budget Appropriation,Other Statutorily Authorized Spending,Total Available for Spending,Total Expenses,Balance Forward/Prior Appropriation Continued (PAC),Unexpended/Reverted
20485,2018,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108700,Plymouth Sheriff's Department,0,54580830,0,17503882.78,9900812.78,0,0,0,0,0,54580830,,62183900,62183899.49,0,0.51
21178,2018,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,1613295.24,197312.24,0,0,0,0,0,0,,1415983,1399367.49,0,16615.51
21771,2018,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,135759,0,0,0,0,0,0,0,,135759,132529.61,0,3229.39
21937,2018,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108500,Nantucket Sheriff's Department,0,0,0,252589.19,13080,0,0,0,0,0,0,,239509.19,237564.88,0,1944.31
21984,2018,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101000,HAMPDEN PRISON INDUSTRIES RETAINED,0,0,0,0,0,0,2981268,2981268,2634263.31,0,0,,2634263.31,2615707.78,0,18555.53
22113,2018,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,89108800,Suffolk Sheriff's Department,0,105516371,0,22705115.87,17351777.87,0,0,0,0,0,105516371,,110869709,110869708.3,0,0.67
22418,2018,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,89100105,WORCESTER COUNTY CORRECTIONS,0,46374644,0,10932048.81,6135723.64,0,0,0,0,0,46374644,,51170969.17,51170968.6,0,0.57
22507,2018,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100107,FORMER MIDDLESEX COUNTY CORRECTIONAL,0,68275072,0,2073928.01,1900366.01,0,0,0,0,0,68275072,,68448634,68178037.14,250000,20596.86
22704,2018,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,11023309,Bureau of the State House,0,0,0,5000,0,0,0,0,0,0,0,,5000,1188.02,0,3811.98
23521,2018,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,89108400,Dukes Sheriff's Department,0,2944524,0,1400078.12,952315.12,0,0,0,0,0,2944524,,3392287,3392286.53,0,0.47
24032,2018,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,28100100,STATE PARKS AND RECREATION,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
24946,2018,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,89100619,ESSEX SHERIFF'S DEPARTMENT,0,54322986,0,20932626.68,5465773.68,0,0,0,0,0,54322986,,69789839,69789838.31,0,0.69
24970,2018,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100445,BERKSHIRE SHERIFF'S RETAINED REVENUE,0,0,0,0,0,0,400000,400000,353337.99,0,0,,353337.99,336653.17,0,16684.82
24992,2018,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,80700,0,0,0,0,0,0,0,,80700,78892.58,0,1807.42
25411,2018,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1550,0,0,0,0,0,0,0,,1550,1421.57,0,128.43
25419,2018,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101020,Hampden Sheriff Inmate Transfers,0,542605,0,0,0,0,,0,0,0,542605,,542605,505437.05,0,37167.95
25555,2018,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,177203.44,78067.44,0,0,0,0,0,0,,99136,99136,0,0
26848,2018,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108310,Bristol Sheriff's Department Federal Inmate Reimbursement Re,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
27219,2018,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,46430,0,0,0,0,0,0,0,,46430,46411.69,0,18.31
27570,2018,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101030,Western Mass Regional Women's Correction,0,3463321,0,0,0,0,,0,0,0,3463321,,3463321,3365771.86,0,97549.14
28041,2018,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100446,Berkshire Retained Revenue from Pittsfield Schools,0,0,0,0,0,0,300000,300000,0,0,0,,0,0,0,0
499,2017,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1557,0,0,0,0,0,0,0,,1557,1135.55,0,421.45
631,2017,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,80700,0,0,0,0,0,0,0,,80700,78767.39,0,1932.61
1482,2017,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,57002.78,802.78,0,0,0,0,0,0,,56200,54998.42,0,1201.58
1667,2017,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,643466,8000,0,0,0,0,0,0,,635466,626334.41,0,9131.59
1668,2017,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,56100,0,0,0,0,0,0,0,,56100,56100,0,0
1825,2017,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,63100,0,0,0,0,0,0,0,,63100,63099.96,0,0.04
1871,2017,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,145623,0,0,0,0,0,0,0,,145623,122448.5,0,23174.5
2821,2017,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,218865,0,0,0,0,0,0,0,,218865,213846.11,0,5018.89
3085,2017,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,1573521.42,211359.42,0,0,0,0,0,0,,1362162,1312946.11,0,49215.89
3365,2017,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89100102,HAMPDEN COUNTY CORRECTIONS,0,70957484,0,3203317.01,1941040.01,0,0,0,0,0,70957484,,72219761,72219761,0,0
5846,2017,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,89100106,Reimbursement from Housing,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
5893,2017,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,149334,0,0,0,0,0,0,0,,149334,127507.49,0,21826.51
5935,2017,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101020,Hampden Sheriff Inmate Transfers,0,542605,0,0,0,0,,0,0,0,542605,,542605,539594.57,0,3010.43
6281,2017,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,70200,0,0,0,0,0,0,0,,70200,70200,0,0
6323,2017,10,General Fund,SHERIFF DEPARTMENTS,SDA,SHERIFFS DEPARTMENT ASSOCIATION,89107110,MASS SHERIFF'S ASSOCIATION Operations,0,375992,0,0,0,0,,0,0,0,375992,,375992,341255.95,0,34736.05
6360,2017,10,General Fund,SHERIFF DEPARTMENTS,NSD,SHERIFF DEPARTMENT NANTUCKET,89108500,Nantucket Sheriff's Department,0,765348,0,144875,384426.69,0,0,0,0,0,765348,,525796.31,455193.48,0,70602.83
8470,2017,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100446,Berkshire Retained Revenue from Pittsfield Schools,0,0,0,0,0,0,325000,325000,275601.65,0,0,,275601.65,275601.58,0,0.07
8720,2017,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,51012.15,0,0,0,0,0,0,0,,51012.15,50981.11,0,31.04
9458,2017,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100888,Franklin Sheriff Industries RR,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
9746,2017,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89101112,Hampshire Regional Lockup Retained Revenue,0,0,0,0,0,0,167352,167352,167352,0,0,,167352,167348.35,0,3.65
10344,2017,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,89108800,Suffolk Sheriff's Department,0,103447423,0,28025620.82,23003048.82,0,0,0,0,0,103447423,,108469995,108469995,0,0
10971,2017,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,11023309,Bureau of the State House,0,0,0,5000,0,0,0,0,0,0,0,,5000,1646.89,0,3353.11
10980,2017,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,89108600,Norfolk Sheriff's Department,0,30331946,0,28777112.27,23646504.27,0,0,0,0,0,30331946,,35462554,35462554,0,0
11117,2017,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108500,Nantucket Sheriff's Department,0,0,0,239551.69,0,0,0,0,0,0,0,,239551.69,229195,0,10356.69
11223,2017,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,70660040,Bridges to College,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11654,2017,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89100110,HAMPSHIRE COUNTY CORRECTIONS,0,13704424,0,774498.68,30061.68,0,0,0,0,0,13704424,,14448861,14446516.18,0,2344.82
12228,2017,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108210,Barnstable Sheriff Federal Reimbursement Retained Revenue,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
12933,2017,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,82000200,FOR ADMINISTRATION OF TRAINING BY THE,0,0,0,66950.42,0,0,0,0,0,0,0,,66950.42,66950.42,0,0
13890,2017,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,52500,0,0,0,0,0,0,0,,52500,52153.45,0,346.55
14151,2017,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101030,Western Mass Regional Women's Correction,0,3570434,0,0,0,0,,0,0,0,3570434,,3570434,3566375.9,0,4058.1
14256,2017,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,89100619,ESSEX SHERIFF'S DEPARTMENT,0,53257829,0,22846767.99,8019513.49,0,0,0,0,0,53257829,,68085083.5,68085083.5,0,0
14257,2017,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108200,Barnstable Sheriff's Department,0,27780507,0,2414287.11,1610688.11,0,0,0,0,0,27780507,,28584106,28584106,0,0
15191,2017,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101000,HAMPDEN PRISON INDUSTRIES RETAINED,0,0,0,0,0,0,2981268,2981268,2295448.17,0,0,,2295448.17,2286535.97,0,8912.2
15239,2017,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108300,Bristol Sheriff's Department,0,43314526,0,7283274.14,971082.04,0,0,0,0,0,43314526,,49626718.1,49626717.76,0,0.34
15783,2017,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89101101,Middlesex Sheriff Mental Health Stab Unit,0,887144,0,24845.92,24845.92,0,0,0,0,0,887144,,887144,887143.92,0,0.08
16395,2017,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108318,Bristol County Sheriff Salary Adjustments,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
16401,2017,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1057,0,0,0,0,0,0,0,,1057,1013.56,0,43.44
16763,2017,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,89106619,ESSEX SHERIFF FEDERAL RR,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
16765,2017,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,28100100,STATE PARKS AND RECREATION,0,0,0,2033.2,0,0,0,0,0,0,0,,2033.2,0,0,2033.2
16902,2017,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100445,BERKSHIRE SHERIFF'S RETAINED REVENUE,0,0,0,0,0,0,400000,400000,352290.46,0,0,,352290.46,344196.11,0,8094.35
16966,2017,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89101100,MIDDLESEX PRISON INDUSTRIES RETAINED,0,0,0,0,0,0,75000,75000,2355.5,0,0,,2355.5,2328.03,0,27.47
17173,2017,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,28100100,STATE PARKS AND RECREATION,0,0,0,1016.7,0,0,0,0,0,0,0,,1016.7,0,0,1016.7
17611,2017,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1557,0,0,0,0,0,0,0,,1557,1453.94,0,103.06
18385,2017,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,585605.42,3450.42,0,0,0,0,0,0,,582155,579587.62,0,2567.38
19153,2017,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100107,FORMER MIDDLESEX COUNTY CORRECTIONAL,0,66708720,0,4625914.58,3647995.58,0,0,0,0,0,66708720,,67686639,67686460.76,0,178.24
19430,2017,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1630,0,0,0,0,0,0,0,,1630,1590.53,0,39.47
19647,2017,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,431417,14050,0,0,0,0,0,0,,417367,416265.55,0,1101.45
19836,2017,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,77200,0,0,0,0,0,0,0,,77200,77200,0,0
20092,2017,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1917,0,0,0,0,0,0,0,,1917,1820,0,97
20350,2017,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,316982.91,22161.91,0,0,0,0,0,0,,294821,294821,0,0
20675,2017,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89500001,PAROLE BOARD,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
21177,2017,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,89100105,WORCESTER COUNTY CORRECTIONS,0,45465337,0,13492703.89,8501819.39,0,0,0,0,0,45465337,,50456221.5,50426658.49,0,29563.01
21593,2017,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
22222,2017,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,89108400,Dukes Sheriff's Department,0,2886788,0,518278.27,341210.27,0,0,0,0,0,2886788,,3063856,3063855.87,0,0.13
22241,2017,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,128005,0,0,0,0,0,0,0,,128005,120891.63,0,7113.37
22384,2017,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1057,0,0,0,0,0,0,0,,1057,1057,0,0
23906,2017,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,46429.61,0,0,0,0,0,0,0,,46429.61,46425.04,0,4.57
24838,2017,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,2017371.99,116794.99,0,0,0,0,0,0,,1900577,1900574.62,0,2.38
24887,2017,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101010,Hampden Sheriff Regional Mental Health Stab. Unit,0,1087493,0,9066.67,9066.67,0,0,0,0,0,1087493,,1087493,1084689.35,0,2803.65
25526,2017,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108310,Bristol Sheriff's Department Federal Inmate Reimbursement Re,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
25671,2017,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,801565.22,9584.22,0,0,0,0,0,0,,791981,790017.43,0,1963.57
26405,2017,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108700,Plymouth Sheriff's Department,0,53510618,0,14626780.63,8001827.63,0,0,0,0,0,53510618,,60135571,60135571,0,0
27397,2017,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100145,BERKSHIRE SHERIFF'S DEPARTMENT,0,17561543,0,163115,0,0,0,0,0,0,17561543,,17724658,17616495.96,0,108162.04
27417,2017,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,128130.82,3254.82,0,0,0,0,0,0,,124876,124380.45,0,495.55
27809,2017,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100108,FRANKLIN COUNTY CORRECTIONS,0,15112242,0,3333498.09,1977929.09,0,0,0,0,0,15112242,,16467811,16466761,0,1050
505,2016,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1250,0,0,0,0,0,0,0,,1250,1241.06,0,8.94
1221,2016,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,444596,27275,0,0,0,0,0,0,,417321,416674.93,0,646.07
2831,2016,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89101112,Hampshire Regional Lockup Retained Revenue,0,0,0,0,0,0,200000,200000,167353,0,0,,167353,167323.06,0,29.94
3251,2016,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,1489440.08,127482.08,0,0,0,0,0,0,,1361958,1352424.09,0,9533.91
3423,2016,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,82000200,FOR ADMINISTRATION OF TRAINING BY THE,0,0,0,66950.42,0,0,0,0,0,0,0,,66950.42,66950.42,0,0
3478,2016,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89101100,MIDDLESEX PRISON INDUSTRIES RETAINED,0,0,0,0,0,0,75000,75000,3073.75,0,0,,3073.75,2997.75,0,76
3604,2016,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,80700,0,0,0,0,0,0,0,,80700,80678.04,0,21.96
4532,2016,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,63100,0,0,0,0,0,0,0,,63100,63099.96,0,0.04
4620,2016,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,800930,9000,0,0,0,0,0,0,,791930,789765.1,0,2164.9
4931,2016,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,70200,0,0,0,0,0,0,0,,70200,70200,0,0
5054,2016,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,89108800,Suffolk Sheriff's Department,0,104492346,0,10474862.79,9702310.29,0,0,0,0,0,104492346,,105264898.5,105264898.5,0,0
5747,2016,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100288,Franklin Sheriff's Department Federal Transport,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
6164,2016,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1100,350,0,0,0,0,0,0,,750,685.99,0,64.01
6385,2016,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101000,HAMPDEN PRISON INDUSTRIES RETAINED,0,0,0,0,0,0,3076824,3076824,2532985.64,0,0,,2532985.64,2525539.62,0,7446.02
6487,2016,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100160,CRIMINAL ALIEN ASSISTANCE RETAINED REV,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
6775,2016,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,70660040,Bridges to College,17755.61,0,0,19277.73,7493.73,0,0,0,0,0,0,,29539.61,29313.44,0,226.17
6870,2016,10,General Fund,SHERIFF DEPARTMENTS,SDA,SHERIFFS DEPARTMENT ASSOCIATION,89107110,MASS SHERIFF'S ASSOCIATION Operations,0,379790,0,0,0,0,,0,0,0,379790,,379790,366868.18,0,12921.82
7507,2016,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,2524,0,0,0,0,0,0,0,,2524,2434.85,0,89.15
8332,2016,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89101127,Hampshire Sheriff's Federal Inmate ReimbursementRR,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
8527,2016,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,89108600,Norfolk Sheriff's Department,0,30638329,0,20115455.87,15483959.04,0,0,0,0,0,30638329,,35269825.83,35269825.83,0,0
8746,2016,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100108,FRANKLIN COUNTY CORRECTIONS,0,14682242,0,993852.71,273569.81,0,0,0,0,0,14682242,,15402524.9,15402524.9,0,0
8760,2016,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1250,0,0,0,0,0,0,0,,1250,965.02,0,284.98
8836,2016,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108700,Plymouth Sheriff's Department,0,54051129,0,25919066.85,19101274.33,0,0,0,0,0,54051129,,60868921.52,60868921.52,0,0
8859,2016,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,89106619,ESSEX SHERIFF FEDERAL RR,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
9739,2016,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,89100106,Reimbursement from Housing,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
10210,2016,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100145,BERKSHIRE SHERIFF'S DEPARTMENT,0,17738932,0,0,0,0,0,0,0,0,17738932,,17738932,17666682.73,0,72249.27
10229,2016,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,28100100,STATE PARKS AND RECREATION,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
